id,name,zone,line_name,opened,nightopened,closed,geometry
910GWRCSTRP,Worcester Park,4,Crossrail 2,2030.0,,,POINT (-0.24496 51.38139)
910GSTPX,St. Pancras International,1,Thameslink 6tph line,2035.0,,,POINT (-0.12719 51.53248)
910GSTPX,St. Pancras International,1,National Rail,,,,POINT (-0.12719 51.53248)
910GSAC,St.Albans City,?,Thameslink 6tph line,2035.0,,,POINT (-0.32752 51.75042)
910GSAC,St.Albans City,?,National Rail,,,,POINT (-0.32752 51.75042)
910GEPH,Elephant & Castle,1/2,Thameslink 6tph line,2035.0,,,POINT (-0.09871 51.49397)
910GEPH,Elephant & Castle,1/2,National Rail,,,,POINT (-0.09871 51.49397)
910GECR,East Croydon,5,Thameslink 6tph line,2035.0,,,POINT (-0.09276 51.3754)
910GECR,East Croydon,5,National Rail,,,,POINT (-0.09276 51.3754)
910GCTK,City Thameslink,1,Thameslink 6tph line,2035.0,,,POINT (-0.10357 51.51388)
910GCTK,City Thameslink,1,National Rail,,,,POINT (-0.10357 51.51388)
910GLBG,London Bridge,1,Thameslink 6tph line,2035.0,,,POINT (-0.08532 51.50496)
910GLBG,London Bridge,1,National Rail,,,,POINT (-0.08532 51.50496)
910GFPK,Finsbury Park,2/3,Thameslink 6tph line,2035.0,,,POINT (-0.10626 51.56425)
910GFPK,Finsbury Park,2/3,National Rail,,,,POINT (-0.10626 51.56425)
910GSVG,Stevenage,?,Thameslink 6tph line,2035.0,,,POINT (-0.20709 51.90164)
910GSVG,Stevenage,?,National Rail,,,,POINT (-0.20709 51.90164)
910GGTW,Gatwick Airport,?,Thameslink 6tph line,2035.0,,,POINT (-0.16102 51.15643)
910GGTW,Gatwick Airport,?,National Rail,,,,POINT (-0.16102 51.15643)
910GBFR,Blackfriars (Rail),1,Thameslink 6tph line,2035.0,,,POINT (-0.10331 51.51175)
910GBFR,Blackfriars (Rail),1,National Rail,,,,POINT (-0.10331 51.51175)
910GTBD,Three Bridges,?,Thameslink 6tph line,2035.0,,,POINT (-0.16117 51.11686)
910GTBD,Three Bridges,?,National Rail,,,,POINT (-0.16117 51.11686)
910GKTN,Kentish Town,2,Thameslink 6tph line,2035.0,,,POINT (-0.139 51.5501)
910GKTN,Kentish Town,2,National Rail,,,,POINT (-0.139 51.5501)
910GWHP,West Hampstead Thameslink,2,Thameslink 6tph line,2035.0,,,POINT (-0.19182 51.54842)
910GWHP,West Hampstead Thameslink,2,National Rail,,,,POINT (-0.19182 51.54842)
910GLUT,Luton,?,Thameslink 6tph line,2035.0,,,POINT (-0.41402 51.88226)
910GLUT,Luton,?,National Rail,,,,POINT (-0.41402 51.88226)
910GLTN,Luton Airport Parkway,?,Thameslink 6tph line,2035.0,,,POINT (-0.39586 51.87239)
910GLTN,Luton Airport Parkway,?,National Rail,,,,POINT (-0.39586 51.87239)
910GPUR,Purley,?,Thameslink 6tph line,2035.0,,,POINT (-0.11402 51.33752)
910GPUR,Purley,?,National Rail,,,,POINT (-0.11402 51.33752)
910GCDS,Coulsdon South,?,Thameslink 6tph line,2035.0,,,POINT (-0.13787 51.31578)
910GCDS,Coulsdon South,?,National Rail,,,,POINT (-0.13787 51.31578)
910GMHM,Merstham,?,Thameslink 6tph line,2035.0,,,POINT (-0.15021 51.26409)
910GMHM,Merstham,?,National Rail,,,,POINT (-0.15021 51.26409)
910GRDH,Redhill,?,Thameslink 6tph line,2035.0,,,POINT (-0.16588 51.24014)
910GRDH,Redhill,?,National Rail,,,,POINT (-0.16588 51.24014)
910GELD,Earlswood (Surrey),?,Thameslink 6tph line,2035.0,,,POINT (-0.17081 51.22727)
910GELD,Earlswood (Surrey),?,National Rail,,,,POINT (-0.17081 51.22727)
910GSAF,Salfords,?,Thameslink 6tph line,2035.0,,,POINT (-0.16247 51.20169)
910GSAF,Salfords,?,National Rail,,,,POINT (-0.16247 51.20169)
910GHOR,Horley,?,Thameslink 6tph line,2035.0,,,POINT (-0.16104 51.16871)
910GHOR,Horley,?,National Rail,,,,POINT (-0.16104 51.16871)
910GHPD,Harpenden,?,Thameslink 6tph line,2035.0,,,POINT (-0.35146 51.8146)
910GHPD,Harpenden,?,National Rail,,,,POINT (-0.35146 51.8146)
910G950,Canary Wharf,2,Elizabeth line,2022.0,,,POINT (-0.017465870885524 51.50628412783459)
910G981,King's Road Chelsea,1,Crossrail 2,2030.0,,,POINT (-0.16701 51.48835)
910GBKRVS,Barking Riverside,4,London Overground,2022.0,,,POINT (0.11599 51.51955)
